SampleID	marker	SRA_accession	BioSample_accession	BioProject_accession
LIB01-Negative-P01-B4	12S	SRR12168984	SAMN15452877	PRJNA644190
LIB01-Positive-P01-A4	12S	SRR12168983	SAMN15452878	PRJNA644190
LIB01-PS-Box01-T01	12S	SRR12168946	SAMN15452879	PRJNA644190
LIB01-PS-Box01-T02	12S	SRR12168935	SAMN15452880	PRJNA644190
LIB01-PS-Box01-T03	12S	SRR12168924	SAMN15452881	PRJNA644190
LIB01-PS-Box01-T04	12S	SRR12168913	SAMN15452882	PRJNA644190
LIB01-PS-Box01-T05	12S	SRR12168902	SAMN15452883	PRJNA644190
LIB01-PS-Box01-T06	12S	SRR12168891	SAMN15452884	PRJNA644190
LIB01-PS-Box01-T07	12S	SRR12168880	SAMN15452885	PRJNA644190
LIB01-PS-Box01-T08	12S	SRR12168869	SAMN15452886	PRJNA644190
LIB01-PS-Box01-T09	12S	SRR12168982	SAMN15452887	PRJNA644190
LIB01-PS-Box01-T10	12S	SRR12168972	SAMN15452888	PRJNA644190
LIB01-PS-Box01-T11	12S	SRR12168962	SAMN15452889	PRJNA644190
LIB01-PS-Box01-T12	12S	SRR12168953	SAMN15452890	PRJNA644190
LIB01-PS-Box02-T01	12S	SRR12168952	SAMN15452891	PRJNA644190
LIB01-PS-Box02-T02	12S	SRR12168951	SAMN15452892	PRJNA644190
LIB01-PS-Box02-T03	12S	SRR12168950	SAMN15452893	PRJNA644190
LIB01-PS-Box02-T04	12S	SRR12168949	SAMN15452894	PRJNA644190
LIB01-PS-Box02-T05	12S	SRR12168948	SAMN15452895	PRJNA644190
LIB01-PS-Box02-T06	12S	SRR12168947	SAMN15452896	PRJNA644190
LIB01-PS-Box02-T07	12S	SRR12168945	SAMN15452897	PRJNA644190
LIB01-PS-Box02-T08	12S	SRR12168944	SAMN15452898	PRJNA644190
LIB01-PS-Box02-T09	12S	SRR12168943	SAMN15452899	PRJNA644190
LIB01-PS-Box02-T10	12S	SRR12168942	SAMN15452900	PRJNA644190
LIB01-PS-Box02-T11	12S	SRR12168941	SAMN15452901	PRJNA644190
LIB01-PS-Box02-T12	12S	SRR12168940	SAMN15452902	PRJNA644190
LIB02-TL01	12S	SRR12168939	SAMN15452903	PRJNA644190
LIB02-TL02	12S	SRR12168938	SAMN15452904	PRJNA644190
LIB02-TL03	12S	SRR12168937	SAMN15452905	PRJNA644190
LIB02-TL04	12S	SRR12168936	SAMN15452906	PRJNA644190
LIB02-TL05	12S	SRR12168934	SAMN15452907	PRJNA644190
LIB02-TL06	12S	SRR12168933	SAMN15452908	PRJNA644190
LIB02-TL07	12S	SRR12168932	SAMN15452909	PRJNA644190
LIB02-TL08	12S	SRR12168931	SAMN15452910	PRJNA644190
LIB02-TL09	12S	SRR12168930	SAMN15452911	PRJNA644190
LIB02-TL10	12S	SRR12168929	SAMN15452912	PRJNA644190
LIB02-TL11	12S	SRR12168928	SAMN15452913	PRJNA644190
LIB02-TL12	12S	SRR12168927	SAMN15452914	PRJNA644190
LIB02-TL13	12S	SRR12168926	SAMN15452915	PRJNA644190
LIB02-TL14	12S	SRR12168925	SAMN15452916	PRJNA644190
LIB02-TL15	12S	SRR12168923	SAMN15452917	PRJNA644190
LIB02-TL16	12S	SRR12168922	SAMN15452918	PRJNA644190
LIB02-TL17	12S	SRR12168921	SAMN15452919	PRJNA644190
LIB02-TL18	12S	SRR12168920	SAMN15452920	PRJNA644190
LIB02-TL20	12S	SRR12168919	SAMN15452921	PRJNA644190
LIB03-TL21	12S	SRR12168918	SAMN15452922	PRJNA644190
LIB03-TL23	12S	SRR12168917	SAMN15452923	PRJNA644190
LIB03-TL24	12S	SRR12168916	SAMN15452924	PRJNA644190
LIB03-TL25	12S	SRR12168915	SAMN15452925	PRJNA644190
LIB03-TL26	12S	SRR12168914	SAMN15452926	PRJNA644190
LIB03-TL27	12S	SRR12168912	SAMN15452927	PRJNA644190
LIB03-TL28	12S	SRR12168911	SAMN15452928	PRJNA644190
LIB03-TL29	12S	SRR12168910	SAMN15452929	PRJNA644190
LIB03-TL30	12S	SRR12168909	SAMN15452930	PRJNA644190
LIB03-TL31	12S	SRR12168908	SAMN15452931	PRJNA644190
LIB03-TL32	12S	SRR12168907	SAMN15452932	PRJNA644190
LIB03-TL33	12S	SRR12168906	SAMN15452933	PRJNA644190
LIB03-TL34	12S	SRR12168905	SAMN15452934	PRJNA644190
LIB03-TL35	12S	SRR12168904	SAMN15452935	PRJNA644190
LIB03-TL36	12S	SRR12168903	SAMN15452936	PRJNA644190
LIB03-TL38	12S	SRR12168901	SAMN15452937	PRJNA644190
LIB03-TL39	12S	SRR12168900	SAMN15452938	PRJNA644190
LIB03-TL40	12S	SRR12168899	SAMN15452939	PRJNA644190
LIB04-Negative-P02-D2	12S	SRR12168898	SAMN15452940	PRJNA644190
LIB04-Positive-P02-C2	12S	SRR12168897	SAMN15452941	PRJNA644190
LIB04-TL41	12S	SRR12168896	SAMN15452942	PRJNA644190
LIB04-TL42	12S	SRR12168895	SAMN15452943	PRJNA644190
LIB04-TL43	12S	SRR12168894	SAMN15452944	PRJNA644190
LIB04-TL44	12S	SRR12168893	SAMN15452945	PRJNA644190
LIB04-TL45	12S	SRR12168892	SAMN15452946	PRJNA644190
LIB04-TL46	12S	SRR12168890	SAMN15452947	PRJNA644190
LIB04-TL47	12S	SRR12168889	SAMN15452948	PRJNA644190
LIB04-TL49	12S	SRR12168888	SAMN15452949	PRJNA644190
LIB04-TL50	12S	SRR12168887	SAMN15452950	PRJNA644190
LIB04-TL51	12S	SRR12168886	SAMN15452951	PRJNA644190
LIB04-TL52	12S	SRR12168885	SAMN15452952	PRJNA644190
LIB04-TL53	12S	SRR12168884	SAMN15452953	PRJNA644190
LIB04-TL54	12S	SRR12168883	SAMN15452954	PRJNA644190
LIB04-TL55	12S	SRR12168882	SAMN15452955	PRJNA644190
LIB04-TL56	12S	SRR12168881	SAMN15452956	PRJNA644190
LIB04-TL57	12S	SRR12168879	SAMN15452957	PRJNA644190
LIB04-TL58	12S	SRR12168878	SAMN15452958	PRJNA644190
LIB04-TL59	12S	SRR12168877	SAMN15452959	PRJNA644190
LIB04-TL60	12S	SRR12168876	SAMN15452960	PRJNA644190
LIB05-Negative-P02-F4	12S	SRR12168875	SAMN15452961	PRJNA644190
LIB05-Positive-P02-E4	12S	SRR12168874	SAMN15452962	PRJNA644190
LIB05-TL19M	12S	SRR12168873	SAMN15452963	PRJNA644190
LIB05-TL19Q	12S	SRR12168872	SAMN15452964	PRJNA644190
LIB05-TL22M	12S	SRR12168871	SAMN15452965	PRJNA644190
LIB05-TL22Q	12S	SRR12168870	SAMN15452966	PRJNA644190
LIB05-TL37M	12S	SRR12168868	SAMN15452967	PRJNA644190
LIB05-TL37Q	12S	SRR12168867	SAMN15452968	PRJNA644190
LIB05-TL48M	12S	SRR12168866	SAMN15452969	PRJNA644190
LIB05-TL48Q	12S	SRR12168865	SAMN15452970	PRJNA644190
LIB05-TL61M	12S	SRR12168864	SAMN15452971	PRJNA644190
LIB05-TL61Q	12S	SRR12168863	SAMN15452972	PRJNA644190
LIB05-TL62M	12S	SRR12168862	SAMN15452973	PRJNA644190
LIB05-TL62Q	12S	SRR12168861	SAMN15452974	PRJNA644190
LIB05-TL63M	12S	SRR12168860	SAMN15452975	PRJNA644190
LIB05-TL63Q	12S	SRR12168859	SAMN15452976	PRJNA644190
LIB05-TL64M	12S	SRR12168981	SAMN15452977	PRJNA644190
LIB05-TL64Q	12S	SRR12168980	SAMN15452978	PRJNA644190
LIB06-MH-19-01	12S	SRR12168979	SAMN15452979	PRJNA644190
LIB06-MH-19-02	12S	SRR12168978	SAMN15452980	PRJNA644190
LIB06-MH-19-03	12S	SRR12168977	SAMN15452981	PRJNA644190
LIB06-MH-19-05	12S	SRR12168976	SAMN15452983	PRJNA644190
LIB06-MH-19-06	12S	SRR12168975	SAMN15452984	PRJNA644190
LIB06-MH-19-07	12S	SRR12168974	SAMN15452985	PRJNA644190
LIB06-MH-19-08	12S	SRR12168973	SAMN15452986	PRJNA644190
LIB06-MH-19-09	12S	SRR12168971	SAMN15452987	PRJNA644190
LIB06-MH-19-11	12S	SRR12168970	SAMN15452989	PRJNA644190
LIB06-MH-19-12	12S	SRR12168969	SAMN15452990	PRJNA644190
LIB06-MH-19-13	12S	SRR12168968	SAMN15452991	PRJNA644190
LIB06-MH-19-14	12S	SRR12168967	SAMN15452992	PRJNA644190
LIB06-MH-19-15	12S	SRR12168966	SAMN15452993	PRJNA644190
LIB06-MH-19-16	12S	SRR12168965	SAMN15452994	PRJNA644190
LIB06-MH-19-17	12S	SRR12168964	SAMN15452995	PRJNA644190
LIB06-MH-19-18	12S	SRR12168963	SAMN15452996	PRJNA644190
LIB06-MH-19-19	12S	SRR12168961	SAMN15452997	PRJNA644190
LIB07-01-07	12S	SRR12168960	SAMN15452998	PRJNA644190
LIB07-01-08	12S	SRR12168959	SAMN15452999	PRJNA644190
LIB07-01-09	12S	SRR12168958	SAMN15453000	PRJNA644190
LIB07-01-10	12S	SRR12168957	SAMN15453001	PRJNA644190
LIB07-01-11	12S	SRR12168956	SAMN15453002	PRJNA644190
LIB07-02-10	12S	SRR12168955	SAMN15453003	PRJNA644190
LIB07-Positive-P03-B4	12S	SRR12168954	SAMN15453005	PRJNA644190
A1	12S	SRR12176170	SAMN15455442	PRJNA644190
B1	12S	SRR12176169	SAMN15455443	PRJNA644190
B2	12S	SRR12176104	SAMN15455444	PRJNA644190
B3	12S	SRR12176093	SAMN15455445	PRJNA644190
C1	12S	SRR12176082	SAMN15455446	PRJNA644190
C2	12S	SRR12176071	SAMN15455447	PRJNA644190
D1	12S	SRR12176060	SAMN15455448	PRJNA644190
D2	12S	SRR12176049	SAMN15455449	PRJNA644190
D3	12S	SRR12176038	SAMN15455450	PRJNA644190
E1	12S	SRR12176027	SAMN15455451	PRJNA644190
F1	12S	SRR12176168	SAMN15455452	PRJNA644190
F3	12S	SRR12176157	SAMN15455453	PRJNA644190
F4	12S	SRR12176146	SAMN15455454	PRJNA644190
G1	12S	SRR12176135	SAMN15455455	PRJNA644190
G2	12S	SRR12176124	SAMN15455456	PRJNA644190
G3	12S	SRR12176114	SAMN15455457	PRJNA644190
H1	12S	SRR12176108	SAMN15455458	PRJNA644190
I1	12S	SRR12176107	SAMN15455459	PRJNA644190
I2	12S	SRR12176106	SAMN15455460	PRJNA644190
I3	12S	SRR12176105	SAMN15455461	PRJNA644190
I4	12S	SRR12176103	SAMN15455462	PRJNA644190
I5	12S	SRR12176102	SAMN15455463	PRJNA644190
J1	12S	SRR12176101	SAMN15455464	PRJNA644190
J2	12S	SRR12176100	SAMN15455465	PRJNA644190
J3	12S	SRR12176099	SAMN15455466	PRJNA644190
J4	12S	SRR12176098	SAMN15455467	PRJNA644190
K1	12S	SRR12176097	SAMN15455468	PRJNA644190
K2	12S	SRR12176096	SAMN15455469	PRJNA644190
L1	12S	SRR12176095	SAMN15455470	PRJNA644190
L2	12S	SRR12176094	SAMN15455471	PRJNA644190
Lib1neg	12S	SRR12176092	SAMN15455472	PRJNA644190
Lib1pos	12S	SRR12176091	SAMN15455473	PRJNA644190
Lib2neg	12S	SRR12176090	SAMN15455474	PRJNA644190
Lib2pos	12S	SRR12176089	SAMN15455475	PRJNA644190
Lib3neg	12S	SRR12176088	SAMN15455476	PRJNA644190
Lib3pos	12S	SRR12176087	SAMN15455477	PRJNA644190
Lib4neg	12S	SRR12176086	SAMN15455478	PRJNA644190
Lib4pos	12S	SRR12176085	SAMN15455479	PRJNA644190
Lib5neg	12S	SRR12176084	SAMN15455480	PRJNA644190
Lib5pos	12S	SRR12176083	SAMN15455481	PRJNA644190
Lib6neg	12S	SRR12176081	SAMN15455482	PRJNA644190
Lib6pos	12S	SRR12176080	SAMN15455483	PRJNA644190
Lib7neg	12S	SRR12176079	SAMN15455484	PRJNA644190
Lib7pos	12S	SRR12176078	SAMN15455485	PRJNA644190
M1	12S	SRR12176077	SAMN15455486	PRJNA644190
M2	12S	SRR12176076	SAMN15455487	PRJNA644190
MT10	12S	SRR12176075	SAMN15455488	PRJNA644190
MT11	12S	SRR12176074	SAMN15455489	PRJNA644190
MT12	12S	SRR12176073	SAMN15455490	PRJNA644190
MT13	12S	SRR12176072	SAMN15455491	PRJNA644190
MT14	12S	SRR12176070	SAMN15455492	PRJNA644190
MT15	12S	SRR12176069	SAMN15455493	PRJNA644190
MT16	12S	SRR12176068	SAMN15455494	PRJNA644190
MT17	12S	SRR12176067	SAMN15455495	PRJNA644190
MT18	12S	SRR12176066	SAMN15455496	PRJNA644190
MT19-1	12S	SRR12176065	SAMN15455497	PRJNA644190
MT19-2	12S	SRR12176064	SAMN15455498	PRJNA644190
MT1	12S	SRR12176063	SAMN15455499	PRJNA644190
MT20	12S	SRR12176062	SAMN15455500	PRJNA644190
MT21	12S	SRR12176061	SAMN15455501	PRJNA644190
MT22	12S	SRR12176059	SAMN15455502	PRJNA644190
MT23	12S	SRR12176058	SAMN15455503	PRJNA644190
MT24	12S	SRR12176057	SAMN15455504	PRJNA644190
MT2	12S	SRR12176056	SAMN15455505	PRJNA644190
MT3	12S	SRR12176055	SAMN15455506	PRJNA644190
MT4	12S	SRR12176054	SAMN15455507	PRJNA644190
MT5	12S	SRR12176053	SAMN15455508	PRJNA644190
MT6	12S	SRR12176052	SAMN15455509	PRJNA644190
MT7	12S	SRR12176051	SAMN15455510	PRJNA644190
MT8	12S	SRR12176050	SAMN15455511	PRJNA644190
MT9	12S	SRR12176048	SAMN15455512	PRJNA644190
N1	12S	SRR12176047	SAMN15455513	PRJNA644190
O1	12S	SRR12176046	SAMN15455514	PRJNA644190
O2	12S	SRR12176045	SAMN15455515	PRJNA644190
O3	12S	SRR12176044	SAMN15455516	PRJNA644190
P1	12S	SRR12176043	SAMN15455517	PRJNA644190
P2	12S	SRR12176042	SAMN15455518	PRJNA644190
Q1	12S	SRR12176041	SAMN15455519	PRJNA644190
Q2	12S	SRR12176040	SAMN15455520	PRJNA644190
RH01	12S	SRR12176039	SAMN15455521	PRJNA644190
RH02	12S	SRR12176037	SAMN15455522	PRJNA644190
RH03	12S	SRR12176036	SAMN15455523	PRJNA644190
RH04	12S	SRR12176035	SAMN15455524	PRJNA644190
RH05	12S	SRR12176034	SAMN15455525	PRJNA644190
RH06	12S	SRR12176033	SAMN15455526	PRJNA644190
RH07	12S	SRR12176032	SAMN15455527	PRJNA644190
RH08	12S	SRR12176031	SAMN15455528	PRJNA644190
RH09	12S	SRR12176030	SAMN15455529	PRJNA644190
RH10	12S	SRR12176029	SAMN15455530	PRJNA644190
RH11	12S	SRR12176028	SAMN15455531	PRJNA644190
RO1	12S	SRR12176026	SAMN15455532	PRJNA644190
S1	12S	SRR12176025	SAMN15455533	PRJNA644190
TL100	12S	SRR12176024	SAMN15455534	PRJNA644190
TL101	12S	SRR12176023	SAMN15455535	PRJNA644190
TL102	12S	SRR12176022	SAMN15455536	PRJNA644190
TL103	12S	SRR12176021	SAMN15455537	PRJNA644190
TL104	12S	SRR12176020	SAMN15455538	PRJNA644190
TL105	12S	SRR12176019	SAMN15455539	PRJNA644190
TL106	12S	SRR12176018	SAMN15455540	PRJNA644190
TL107	12S	SRR12176017	SAMN15455541	PRJNA644190
TL108	12S	SRR12176167	SAMN15455542	PRJNA644190
TL109	12S	SRR12176166	SAMN15455543	PRJNA644190
TL110	12S	SRR12176165	SAMN15455544	PRJNA644190
TL111	12S	SRR12176164	SAMN15455545	PRJNA644190
TL112	12S	SRR12176163	SAMN15455546	PRJNA644190
TL113	12S	SRR12176162	SAMN15455547	PRJNA644190
TL114	12S	SRR12176161	SAMN15455548	PRJNA644190
TL115	12S	SRR12176160	SAMN15455549	PRJNA644190
TL116	12S	SRR12176159	SAMN15455550	PRJNA644190
TL117	12S	SRR12176158	SAMN15455551	PRJNA644190
TL118	12S	SRR12176156	SAMN15455552	PRJNA644190
TL119	12S	SRR12176155	SAMN15455553	PRJNA644190
TL120	12S	SRR12176154	SAMN15455554	PRJNA644190
TL121	12S	SRR12176153	SAMN15455555	PRJNA644190
TL122	12S	SRR12176152	SAMN15455556	PRJNA644190
TL123	12S	SRR12176151	SAMN15455557	PRJNA644190
TL124	12S	SRR12176150	SAMN15455558	PRJNA644190
TL125	12S	SRR12176149	SAMN15455559	PRJNA644190
