# Constructed from biom file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#OTU ID,A1-nc.blast.blast,B1-nc.blast.blast,B2-nc.blast.blast,B3-nc.blast.blast,C1-nc.blast.blast,C2-nc.blast.blast,D1-nc.blast.blast,D2-nc.blast.blast,D3-nc.blast.blast,E1-nc.blast.blast,F1-nc.blast.blast,F3-nc.blast.blast,F4-nc.blast.blast,G1-nc.blast.blast,G2-nc.blast.blast,G3-nc.blast.blast,H1-nc.blast.blast,I1-nc.blast.blast,I2-nc.blast.blast,I3-nc.blast.blast,I4-nc.blast.blast,I5-nc.blast.blast,J1-nc.blast.blast,J2-nc.blast.blast,J3-nc.blast.blast,J4-nc.blast.blast,K1-nc.blast.blast,K2-nc.blast.blast,L1-nc.blast.blast,L2-nc.blast.blast,Lib1neg-nc.blast.blast,Lib1pos-nc.blast.blast,Lib2neg-nc.blast.blast,Lib2pos-nc.blast.blast,Lib3neg-nc.blast.blast,Lib3pos-nc.blast.blast,Lib4neg-nc.blast.blast,Lib4pos-nc.blast.blast,Lib5neg-nc.blast.blast,Lib5pos-nc.blast.blast,Lib6neg-nc.blast.blast,Lib6pos-nc.blast.blast,M1-nc.blast.blast,M2-nc.blast.blast,MT1-nc.blast.blast,MT10-nc.blast.blast,MT11-nc.blast.blast,MT12-nc.blast.blast,MT13-nc.blast.blast,MT14-nc.blast.blast,MT15-nc.blast.blast,MT16-nc.blast.blast,MT17-nc.blast.blast,MT18-nc.blast.blast,MT19-1-nc.blast.blast,MT19-2-nc.blast.blast,MT2-nc.blast.blast,MT20-nc.blast.blast,MT21-nc.blast.blast,MT22-nc.blast.blast,MT23-nc.blast.blast,MT24-nc.blast.blast,MT3-nc.blast.blast,MT4-nc.blast.blast,MT5-nc.blast.blast,MT6-nc.blast.blast,MT7-nc.blast.blast,MT8-nc.blast.blast,MT9-nc.blast.blast,N1-nc.blast.blast,O1-nc.blast.blast,O2-nc.blast.blast,O3-nc.blast.blast,P1-nc.blast.blast,P2-nc.blast.blast,Q1-nc.blast.blast,Q2-nc.blast.blast,RH01-nc.blast.blast,RH02-nc.blast.blast,RH03-nc.blast.blast,RH04-nc.blast.blast,RH05-nc.blast.blast,RH06-nc.blast.blast,RH07-nc.blast.blast,RH08-nc.blast.blast,RH09-nc.blast.blast,RH10-nc.blast.blast,RH11-nc.blast.blast,RO1-nc.blast.blast,S1-nc.blast.blast,TL100-nc.blast.blast,TL101-nc.blast.blast,TL102-nc.blast.blast,TL103-nc.blast.blast,TL104-nc.blast.blast,TL105-nc.blast.blast,TL106-nc.blast.blast,TL107-nc.blast.blast,TL108-nc.blast.blast,TL109-nc.blast.blast,TL110-nc.blast.blast,TL111-nc.blast.blast,TL112-nc.blast.blast,TL113-nc.blast.blast,TL114-nc.blast.blast,TL115-nc.blast.blast,TL116-nc.blast.blast,TL117-nc.blast.blast,TL118-nc.blast.blast,TL119-nc.blast.blast,TL120-nc.blast.blast,TL121-nc.blast.blast,TL122-nc.blast.blast,TL123-nc.blast.blast,TL124-nc.blast.blast,TL125-nc.blast.blast,TL126-nc.blast.blast,TL127-nc.blast.blast,TL128-nc.blast.blast,TL129-nc.blast.blast,TL130-nc.blast.blast,TL131-nc.blast.blast,TL132-nc.blast.blast,TL133-nc.blast.blast,TL134-nc.blast.blast,TL135-nc.blast.blast,TL136-nc.blast.blast,TL137-nc.blast.blast,TL139-nc.blast.blast,TL89-nc.blast.blast,TL90-nc.blast.blast,TL91-nc.blast.blast,TL92-nc.blast.blast,TL93-nc.blast.blast,TL94-nc.blast.blast,TL95-nc.blast.blast,TL96-nc.blast.blast,TL97-nc.blast.blast,TL98-nc.blast.blast,TL99-nc.blast.blast,toad1-nc.blast.blast,toad10-nc.blast.blast,toad11-nc.blast.blast,toad12-nc.blast.blast,toad2-nc.blast.blast,toad3-nc.blast.blast,toad4-nc.blast.blast,toad5-nc.blast.blast,toad6-nc.blast.blast,toad7-nc.blast.blast,toad8-nc.blast.blast,toad9-nc.blast.blast,taxomomy
s__Aeromonas_veronii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,"['sk__Bacteria_<prokaryotes>', 'k__unknown', 'p__Proteobacteria', 'c__Gammaproteobacteria', 'o__Aeromonadales', 'f__Aeromonadaceae', 'g__Aeromonas', 's__Aeromonas_veronii']"
s__Hafnia_alvei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Bacteria_<prokaryotes>', 'k__unknown', 'p__Proteobacteria', 'c__Gammaproteobacteria', 'o__Enterobacterales', 'f__Hafniaceae', 'g__Hafnia', 's__Hafnia_alvei']"
s__Hafnia_sp._CBA7124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Bacteria_<prokaryotes>', 'k__unknown', 'p__Proteobacteria', 'c__Gammaproteobacteria', 'o__Enterobacterales', 'f__Hafniaceae', 'g__Hafnia', 's__Hafnia_sp._CBA7124']"
s__Pseudomonas_fragi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Bacteria_<prokaryotes>', 'k__unknown', 'p__Proteobacteria', 'c__Gammaproteobacteria', 'o__Pseudomonadales', 'f__Pseudomonadaceae', 'g__Pseudomonas', 's__Pseudomonas_fragi']"
s__Pseudomonas_putida,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,"['sk__Bacteria_<prokaryotes>', 'k__unknown', 'p__Proteobacteria', 'c__Gammaproteobacteria', 'o__Pseudomonadales', 'f__Pseudomonadaceae', 'g__Pseudomonas', 's__Pseudomonas_putida']"
s__Pseudomonas_sp._02C_26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Bacteria_<prokaryotes>', 'k__unknown', 'p__Proteobacteria', 'c__Gammaproteobacteria', 'o__Pseudomonadales', 'f__Pseudomonadaceae', 'g__Pseudomonas', 's__Pseudomonas_sp._02C_26']"
s__Dryomyza_anilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Arthropoda', 'c__Insecta', 'o__Diptera', 'f__Dryomyzidae', 'g__Dryomyza', 's__Dryomyza_anilis']"
s__Oreochromis_niloticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cichliformes', 'f__Cichlidae', 'g__Oreochromis', 's__Oreochromis_niloticus']"
s__Poecilia_reticulata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cyprinodontiformes', 'f__Poeciliidae', 'g__Poecilia', 's__Poecilia_reticulata']"
s__Tringa_ochropus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Aves', 'o__Charadriiformes', 'f__Scolopacidae', 'g__Tringa', 's__Tringa_ochropus']"
