Sequencing_ID,Sample_ID,Site,Latitude ,Longitude,Waterbody,Year,Investigator,Collection_ID,Read_ID
A1,A1,River Glaven,52.882147,1.030618,lake,2018,Staff,Otter,Mink
B1,B1,River Glaven,52.906384,1.131195,river,2018,Staff,Otter,Otter
B2,B2,River Glaven,52.906384,1.131195,river,2018,Staff,Otter,Otter
B3,B3,River Glaven,52.906384,1.131195,river,2018,Staff,Otter,Otter
C1,C1,River Glaven,52.88382,1.097866,river,2018,Staff,Otter,Otter
C2,C2,River Glaven,52.88382,1.097866,river,2018,Staff,Otter,Otter
D1,D1,River Glaven,52.874641,1.075274,river,2018,Staff,Otter,Otter
D2,D2,River Glaven,52.874641,1.075274,river,2018,Staff,Otter,Otter
D3,D3,River Glaven,52.874641,1.075274,river,2018,Staff,Otter,Otter
E1,E1,River Glaven,52.90674,1.13273,lake,2018,Staff,Otter,Otter
F1,F1,River Glaven,52.898698,1.152508,pond,2018,Staff,Otter,Otter
F3,F3,River Glaven,52.898698,1.152508,pond,2018,Staff,Otter,Otter
F4,F4,River Glaven,52.898698,1.152508,pond,2018,Staff,Otter,Otter
G1,G1,River Glaven,52.898698,1.152508,pond,2018,Staff,Otter,Otter
G2,G2,River Glaven,52.898698,1.152508,pond,2018,Staff,Otter,Otter
G3,G3,River Glaven,52.898698,1.152508,pond,2018,Staff,Otter,Fox
H1,H1,River Glaven,52.882147,1.030618,lake,2018,Staff,Otter,Otter
I1,I1,River Glaven,52.921769,1.045951,lake,2018,Staff,Otter,Otter
I2,I2,River Glaven,52.921769,1.045951,lake,2018,Staff,Otter,Otter
I3,I3,River Glaven,52.921769,1.045951,lake,2018,Staff,Otter,Otter
I4,I4,River Glaven,52.921769,1.045951,lake,2018,Staff,Otter,Otter
I5,I5,River Glaven,52.921769,1.045951,lake,2018,Staff,Otter,Mink
J1,J1,River Glaven,52.925913,1.043083,river,2018,Staff,Otter,Otter
J2,J2,River Glaven,52.925913,1.043083,river,2018,Staff,Otter,Otter
J3,J3,River Glaven,52.925913,1.043083,river,2018,Staff,Otter,Otter
J4,J4,River Glaven,52.925913,1.043083,river,2018,Staff,Otter,Otter
