sample,total,trimmed-total,trimmed-pe,trimmed-orphans,merged,cluster_thres,clusters_total,clusters_min_cov,cluster_above_thres,queries
LIB01-Negative-P01-B4-nc,NA,NA,NA,NA,NA,1.0,240,3,62,4330
LIB01-PS-Box01-T01-nc,NA,NA,NA,NA,NA,1.0,1177,3,446,171759
LIB01-PS-Box01-T02-nc,NA,NA,NA,NA,NA,1.0,1001,3,391,146532
LIB01-PS-Box01-T03-nc,NA,NA,NA,NA,NA,1.0,924,3,317,76744
LIB01-PS-Box01-T04-nc,NA,NA,NA,NA,NA,1.0,423,3,107,19347
LIB01-PS-Box01-T05-nc,NA,NA,NA,NA,NA,1.0,2459,3,745,150500
LIB01-PS-Box01-T06-nc,NA,NA,NA,NA,NA,1.0,1179,3,464,116838
LIB01-PS-Box01-T07-nc,NA,NA,NA,NA,NA,1.0,1334,3,442,98831
LIB01-PS-Box01-T08-nc,NA,NA,NA,NA,NA,1.0,1162,3,420,87047
LIB01-PS-Box01-T09-nc,NA,NA,NA,NA,NA,1.0,1015,3,328,77230
LIB01-PS-Box01-T10-nc,NA,NA,NA,NA,NA,1.0,844,3,242,57845
LIB01-PS-Box01-T11-nc,NA,NA,NA,NA,NA,1.0,979,3,430,149012
LIB01-PS-Box01-T12-nc,NA,NA,NA,NA,NA,1.0,865,3,316,92670
LIB01-PS-Box02-T01-nc,NA,NA,NA,NA,NA,1.0,433,3,84,27677
LIB01-PS-Box02-T02-nc,NA,NA,NA,NA,NA,1.0,474,3,182,59416
LIB01-PS-Box02-T03-nc,NA,NA,NA,NA,NA,1.0,891,3,336,113539
LIB01-PS-Box02-T04-nc,NA,NA,NA,NA,NA,1.0,809,3,290,72869
LIB01-PS-Box02-T05-nc,NA,NA,NA,NA,NA,1.0,656,3,142,40527
LIB01-PS-Box02-T06-nc,NA,NA,NA,NA,NA,1.0,652,3,141,40934
LIB01-PS-Box02-T07-nc,NA,NA,NA,NA,NA,1.0,869,3,260,72572
LIB01-PS-Box02-T08-nc,NA,NA,NA,NA,NA,1.0,758,3,211,52247
LIB01-PS-Box02-T09-nc,NA,NA,NA,NA,NA,1.0,1572,3,550,143414
LIB01-PS-Box02-T10-nc,NA,NA,NA,NA,NA,1.0,1092,3,377,79909
LIB01-PS-Box02-T11-nc,NA,NA,NA,NA,NA,1.0,969,3,264,64127
LIB01-PS-Box02-T12-nc,NA,NA,NA,NA,NA,1.0,828,3,250,62563
LIB01-Positive-P01-A4-nc,NA,NA,NA,NA,NA,1.0,626,3,171,28976
LIB02-TL01-nc,NA,NA,NA,NA,NA,1.0,670,3,256,71809
LIB02-TL02-nc,NA,NA,NA,NA,NA,1.0,406,3,237,88793
LIB02-TL03-nc,NA,NA,NA,NA,NA,1.0,300,3,60,13957
LIB02-TL04-nc,NA,NA,NA,NA,NA,1.0,361,3,206,93498
LIB02-TL05-nc,NA,NA,NA,NA,NA,1.0,783,3,330,90739
LIB02-TL06-nc,NA,NA,NA,NA,NA,1.0,1293,3,449,100299
LIB02-TL07-nc,NA,NA,NA,NA,NA,1.0,626,3,312,86042
LIB02-TL08-nc,NA,NA,NA,NA,NA,1.0,529,3,241,122884
LIB02-TL09-nc,NA,NA,NA,NA,NA,1.0,891,3,255,58278
LIB02-TL10-nc,NA,NA,NA,NA,NA,1.0,537,3,180,57945
LIB02-TL11-nc,NA,NA,NA,NA,NA,1.0,494,3,252,141468
LIB02-TL12-nc,NA,NA,NA,NA,NA,1.0,446,3,80,21836
LIB02-TL13-nc,NA,NA,NA,NA,NA,1.0,1234,3,433,131365
LIB02-TL14-nc,NA,NA,NA,NA,NA,1.0,735,3,400,114262
LIB02-TL15-nc,NA,NA,NA,NA,NA,1.0,459,3,246,111026
LIB02-TL16-nc,NA,NA,NA,NA,NA,1.0,886,3,322,80711
LIB02-TL17-nc,NA,NA,NA,NA,NA,1.0,556,3,292,130360
LIB02-TL18-nc,NA,NA,NA,NA,NA,1.0,967,3,378,161256
LIB02-TL20-nc,NA,NA,NA,NA,NA,1.0,610,3,181,44743
LIB03-TL21-nc,NA,NA,NA,NA,NA,1.0,630,3,172,34522
LIB03-TL23-nc,NA,NA,NA,NA,NA,1.0,618,3,185,42608
LIB03-TL24-nc,NA,NA,NA,NA,NA,1.0,680,3,217,46144
LIB03-TL25-nc,NA,NA,NA,NA,NA,1.0,280,3,74,20377
LIB03-TL26-nc,NA,NA,NA,NA,NA,1.0,634,3,203,48229
LIB03-TL27-nc,NA,NA,NA,NA,NA,1.0,723,3,180,35695
LIB03-TL28-nc,NA,NA,NA,NA,NA,1.0,574,3,170,30229
LIB03-TL29-nc,NA,NA,NA,NA,NA,1.0,780,3,214,48967
LIB03-TL30-nc,NA,NA,NA,NA,NA,1.0,615,3,252,69838
LIB03-TL31-nc,NA,NA,NA,NA,NA,1.0,416,3,181,38809
LIB03-TL32-nc,NA,NA,NA,NA,NA,1.0,447,3,125,26870
LIB03-TL33-nc,NA,NA,NA,NA,NA,1.0,522,3,250,95877
LIB03-TL34-nc,NA,NA,NA,NA,NA,1.0,187,3,26,9791
LIB03-TL35-nc,NA,NA,NA,NA,NA,1.0,851,3,206,55623
LIB03-TL36-nc,NA,NA,NA,NA,NA,1.0,639,3,207,59448
LIB03-TL38-nc,NA,NA,NA,NA,NA,1.0,681,3,209,36728
LIB03-TL39-nc,NA,NA,NA,NA,NA,1.0,519,3,161,37925
LIB03-TL40-nc,NA,NA,NA,NA,NA,1.0,764,3,277,57422
LIB04-Negative-P02-D2-nc,NA,NA,NA,NA,NA,1.0,69,3,16,602
LIB04-Positive-P02-C2-nc,NA,NA,NA,NA,NA,1.0,201,3,61,14343
LIB04-TL41-nc,NA,NA,NA,NA,NA,1.0,1003,3,246,52498
LIB04-TL42-nc,NA,NA,NA,NA,NA,1.0,443,3,224,102563
LIB04-TL43-nc,NA,NA,NA,NA,NA,1.0,663,3,211,41531
LIB04-TL44-nc,NA,NA,NA,NA,NA,1.0,499,3,145,35499
LIB04-TL45-nc,NA,NA,NA,NA,NA,1.0,298,3,87,17722
LIB04-TL46-nc,NA,NA,NA,NA,NA,1.0,996,3,315,68420
LIB04-TL47-nc,NA,NA,NA,NA,NA,1.0,903,3,243,54134
LIB04-TL49-nc,NA,NA,NA,NA,NA,1.0,896,3,259,44803
