sample,total,trimmed-total,trimmed-pe,trimmed-orphans,merged,cluster_thres,clusters_total,clusters_min_cov,cluster_above_thres,queries
LIB01-Negative-P01-B4,10830,9509,8932,577,8926,1,240,3,62,4330
LIB01-PS-Box01-T01,415408,346124,318018,28106,317964,1,1177,3,446,171759
LIB01-PS-Box01-T02,353402,279553,246752,32801,246550,1,1001,3,391,146532
LIB01-PS-Box01-T03,184688,154567,140502,14065,140416,1,924,3,317,76744
LIB01-PS-Box01-T04,45294,39512,36500,3012,36436,1,423,3,107,19347
LIB01-PS-Box01-T05,359360,316317,293372,22945,293118,1,2459,3,745,150500
LIB01-PS-Box01-T06,278106,239800,222992,16808,222866,1,1179,3,464,116838
LIB01-PS-Box01-T07,235798,198740,181172,17568,169004,1,1334,3,442,98831
LIB01-PS-Box01-T08,210006,174677,158746,15931,158634,1,1162,3,420,87047
LIB01-PS-Box01-T09,183860,155977,143108,12869,143080,1,1015,3,328,77230
LIB01-PS-Box01-T10,137850,116872,106426,10446,106422,1,844,3,242,57845
LIB01-PS-Box01-T11,364490,311452,289272,22180,288768,1,979,3,430,149012
LIB01-PS-Box01-T12,229508,189946,173934,16012,173264,1,865,3,316,92670
LIB01-PS-Box02-T01,68862,52797,45656,7141,45630,1,433,3,84,27677
LIB01-PS-Box02-T02,136806,120419,112176,8243,112144,1,474,3,182,59416
LIB01-PS-Box02-T03,274108,217784,190892,26892,190544,1,891,3,336,113539
LIB01-PS-Box02-T04,170472,138226,120638,17588,120406,1,809,3,290,72869
LIB01-PS-Box02-T05,97510,80788,73420,7368,73092,1,656,3,142,40527
LIB01-PS-Box02-T06,107574,83025,75248,7777,75000,1,652,3,141,40934
LIB01-PS-Box02-T07,169734,146762,135710,11052,135710,1,869,3,260,72572
LIB01-PS-Box02-T08,122590,105674,97374,8300,97364,1,758,3,211,52247
LIB01-PS-Box02-T09,333128,291832,272850,18982,272846,1,1572,3,550,143414
LIB01-PS-Box02-T10,189058,166689,155700,10989,155692,1,1092,3,377,79909
LIB01-PS-Box02-T11,152402,131762,122478,9284,122470,1,969,3,264,64127
LIB01-PS-Box02-T12,145832,124950,114910,10040,114886,1,828,3,250,62563
LIB01-Positive-P01-A4,70178,59908,55390,4518,55388,1,626,3,171,28976
LIB02-TL01,161984,142673,133718,8955,133704,1,670,3,256,71809
LIB02-TL02,210776,168577,151194,17383,151048,1,406,3,237,88793
LIB02-TL03,32432,27325,24906,2419,24766,1,300,3,60,13957
LIB02-TL04,223090,183491,166838,16653,166812,1,361,3,206,93498
LIB02-TL05,208990,163744,138074,25670,137634,1,783,3,330,90739
LIB02-TL06,241658,207052,191886,15166,153818,1,1293,3,449,100299
LIB02-TL07,194124,164977,150430,14547,150250,1,626,3,312,86042
LIB02-TL08,294272,242724,222590,20134,222534,1,529,3,241,122884
LIB02-TL09,138742,116438,108064,8374,108060,1,891,3,255,58278
LIB02-TL10,137944,115011,105560,9451,105478,1,537,3,180,57945
LIB02-TL11,336726,277845,254450,23395,254410,1,494,3,252,141468
LIB02-TL12,52154,42102,37716,4386,37234,1,446,3,80,21836
LIB02-TL13,311398,243949,208008,35941,208002,1,1234,3,433,131365
LIB02-TL14,262962,225159,206270,18889,206096,1,735,3,400,114262
LIB02-TL15,264386,217292,198918,18374,198914,1,459,3,246,111026
LIB02-TL16,197688,165049,152826,12223,152812,1,886,3,322,80711
LIB02-TL17,293940,254108,234760,19348,234758,1,556,3,292,130360
LIB02-TL18,362756,319527,298274,21253,297354,1,967,3,378,161256
LIB02-TL20,105258,90072,83222,6850,83060,1,610,3,181,44743
LIB03-TL21,83202,71501,66268,5233,63222,1,630,3,172,34522
LIB03-TL23,97814,86469,80708,5761,80656,1,618,3,185,42608
LIB03-TL24,110654,96809,90532,6277,90450,1,680,3,217,46144
LIB03-TL25,46648,41975,39618,2357,39586,1,280,3,74,20377
LIB03-TL26,111210,99181,93256,5925,93178,1,634,3,203,48229
LIB03-TL27,86090,75431,70394,5037,70274,1,723,3,180,35695
LIB03-TL28,70398,61012,56134,4878,55956,1,574,3,170,30229
LIB03-TL29,113370,99480,93274,6206,93274,1,780,3,214,48967
LIB03-TL30,158470,140539,131416,9123,131148,1,615,3,252,69838
LIB03-TL31,89398,80232,75802,4430,75786,1,416,3,181,38809
LIB03-TL32,62326,54722,51300,3422,50956,1,447,3,125,26870
LIB03-TL33,232120,192427,177138,15289,177092,1,522,3,250,95877
LIB03-TL34,24000,19042,16770,2272,16770,1,187,3,26,9791
LIB03-TL35,129838,114183,106906,7277,106770,1,851,3,206,55623
LIB03-TL36,145828,120343,110976,9367,110858,1,639,3,207,59448
LIB03-TL38,85778,75203,69812,5391,68120,1,681,3,209,36728
LIB03-TL39,88120,77149,72074,5075,72046,1,519,3,161,37925
LIB03-TL40,132488,116850,109510,7340,109492,1,764,3,277,57422
LIB04-Negative-P02-D2,1726,1338,1172,166,1172,1,69,3,16,602
LIB04-Positive-P02-C2,34792,28020,24950,3070,24950,1,201,3,61,14343
LIB04-TL41,129508,103430,91804,11626,91776,1,1003,3,246,52498
LIB04-TL42,247686,205949,190288,15661,190254,1,443,3,224,102563
LIB04-TL43,97318,84412,78562,5850,78158,1,663,3,211,41531
LIB04-TL44,83964,71226,65726,5500,65614,1,499,3,145,35499
LIB04-TL45,41366,35087,32168,2919,32166,1,298,3,87,17722
LIB04-TL46,161882,138475,127584,10891,126984,1,996,3,315,68420
LIB04-TL47,129020,104598,92568,12030,92278,1,903,3,243,54134
LIB04-TL49,109946,87805,77172,10633,77128,1,896,3,259,44803
LIB04-TL50,181346,147340,134118,13222,133404,1,1077,3,333,73096
