# Constructed from biom file
#OTU ID	LIB01-Negative-P01-B4-nc.blast.blast	LIB01-PS-Box01-T01-nc.blast.blast	LIB01-PS-Box01-T02-nc.blast.blast	LIB01-PS-Box01-T03-nc.blast.blast	LIB01-PS-Box01-T04-nc.blast.blast	LIB01-PS-Box01-T05-nc.blast.blast	LIB01-PS-Box01-T06-nc.blast.blast	LIB01-PS-Box01-T07-nc.blast.blast	LIB01-PS-Box01-T08-nc.blast.blast	LIB01-PS-Box01-T09-nc.blast.blast	LIB01-PS-Box01-T10-nc.blast.blast	LIB01-PS-Box01-T11-nc.blast.blast	LIB01-PS-Box01-T12-nc.blast.blast	LIB01-PS-Box02-T01-nc.blast.blast	LIB01-PS-Box02-T02-nc.blast.blast	LIB01-PS-Box02-T03-nc.blast.blast	LIB01-PS-Box02-T04-nc.blast.blast	LIB01-PS-Box02-T05-nc.blast.blast	LIB01-PS-Box02-T06-nc.blast.blast	LIB01-PS-Box02-T07-nc.blast.blast	LIB01-PS-Box02-T08-nc.blast.blast	LIB01-PS-Box02-T09-nc.blast.blast	LIB01-PS-Box02-T10-nc.blast.blast	LIB01-PS-Box02-T11-nc.blast.blast	LIB01-PS-Box02-T12-nc.blast.blast	LIB01-Positive-P01-A4-nc.blast.blast	LIB02-TL01-nc.blast.blast	LIB02-TL02-nc.blast.blast	LIB02-TL03-nc.blast.blast	LIB02-TL04-nc.blast.blast	LIB02-TL05-nc.blast.blast	LIB02-TL06-nc.blast.blast	LIB02-TL07-nc.blast.blast	LIB02-TL08-nc.blast.blast	LIB02-TL09-nc.blast.blast	LIB02-TL10-nc.blast.blast	LIB02-TL11-nc.blast.blast	LIB02-TL12-nc.blast.blast	LIB02-TL13-nc.blast.blast	LIB02-TL14-nc.blast.blast	LIB02-TL15-nc.blast.blast	LIB02-TL16-nc.blast.blast	LIB02-TL17-nc.blast.blast	LIB02-TL18-nc.blast.blast	LIB02-TL20-nc.blast.blast	LIB03-TL21-nc.blast.blast	LIB03-TL23-nc.blast.blast	LIB03-TL24-nc.blast.blast	LIB03-TL25-nc.blast.blast	LIB03-TL26-nc.blast.blast	LIB03-TL27-nc.blast.blast	LIB03-TL28-nc.blast.blast	LIB03-TL29-nc.blast.blast	LIB03-TL30-nc.blast.blast	LIB03-TL31-nc.blast.blast	LIB03-TL32-nc.blast.blast	LIB03-TL33-nc.blast.blast	LIB03-TL34-nc.blast.blast	LIB03-TL35-nc.blast.blast	LIB03-TL36-nc.blast.blast	LIB03-TL38-nc.blast.blast	LIB03-TL39-nc.blast.blast	LIB03-TL40-nc.blast.blast	LIB04-Negative-P02-D2-nc.blast.blast	LIB04-Positive-P02-C2-nc.blast.blast	LIB04-TL41-nc.blast.blast	LIB04-TL42-nc.blast.blast	LIB04-TL43-nc.blast.blast	LIB04-TL44-nc.blast.blast	LIB04-TL45-nc.blast.blast	LIB04-TL46-nc.blast.blast	LIB04-TL47-nc.blast.blast	LIB04-TL49-nc.blast.blast	LIB04-TL50-nc.blast.blast	LIB04-TL51-nc.blast.blast	LIB04-TL52-nc.blast.blast	LIB04-TL53-nc.blast.blast	LIB04-TL54-nc.blast.blast	LIB04-TL55-nc.blast.blast	LIB04-TL56-nc.blast.blast	LIB04-TL57-nc.blast.blast	LIB04-TL58-nc.blast.blast	LIB04-TL59-nc.blast.blast	LIB04-TL60-nc.blast.blast	LIB05-Negative-P02-F4-nc.blast.blast	LIB05-Positive-P02-E4-nc.blast.blast	LIB05-TL19M-nc.blast.blast	LIB05-TL19Q-nc.blast.blast	LIB05-TL22M-nc.blast.blast	LIB05-TL22Q-nc.blast.blast	LIB05-TL37M-nc.blast.blast	LIB05-TL37Q-nc.blast.blast	LIB05-TL48M-nc.blast.blast	LIB05-TL48Q-nc.blast.blast	LIB05-TL61M-nc.blast.blast	LIB05-TL61Q-nc.blast.blast	LIB05-TL62M-nc.blast.blast	LIB05-TL62Q-nc.blast.blast	LIB05-TL63M-nc.blast.blast	LIB05-TL63Q-nc.blast.blast	LIB05-TL64M-nc.blast.blast	LIB05-TL64Q-nc.blast.blast	LIB06-MH-19-01-nc.blast.blast	LIB06-MH-19-02-nc.blast.blast	LIB06-MH-19-03-nc.blast.blast	LIB06-MH-19-05-nc.blast.blast	LIB06-MH-19-06-nc.blast.blast	LIB06-MH-19-07-nc.blast.blast	LIB06-MH-19-08-nc.blast.blast	LIB06-MH-19-09-nc.blast.blast	LIB06-MH-19-12-nc.blast.blast	LIB06-MH-19-13-nc.blast.blast	LIB06-MH-19-14-nc.blast.blast	LIB06-MH-19-15-nc.blast.blast	LIB06-MH-19-16-nc.blast.blast	LIB06-MH-19-17-nc.blast.blast	LIB06-MH-19-18-nc.blast.blast	LIB06-MH-19-19-nc.blast.blast	LIB07-01-07-nc.blast.blast	LIB07-01-08-nc.blast.blast	LIB07-01-09-nc.blast.blast	LIB07-01-10-nc.blast.blast	LIB07-01-11-nc.blast.blast	LIB07-02-10-nc.blast.blast	LIB07-Positive-P03-B4-nc.blast.blast	taxomomy
Gemmata_obscuriglobus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['sk__Bacteria', 'k__unknown', 'p__Planctomycetes', 'c__Planctomycetia', 'o__Planctomycetales', 'f__Gemmataceae', 'g__Gemmata', 's__Gemmata_obscuriglobus']
Pseudomonas_fragi	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['sk__Bacteria', 'k__unknown', 'p__Proteobacteria', 'c__Gammaproteobacteria', 'o__Pseudomonadales', 'f__Pseudomonadaceae', 'g__Pseudomonas', 's__Pseudomonas_fragi']
uncultured_bacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.0	5.0	0.0	0.0	0.0	0.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['sk__Bacteria', 'k__unknown', 'p__unknown', 'c__unknown', 'o__unknown', 'f__unknown', 'g__unknown', 's__uncultured_bacterium']
Eubosmina_coregoni	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['sk__Eukaryota', 'k__Metazoa', 'p__Arthropoda', 'c__Branchiopoda', 'o__Diplostraca', 'f__Bosminidae', 'g__Eubosmina', 's__Eubosmina_coregoni']
Clupea_harengus	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Clupeiformes', 'f__Clupeidae', 'g__Clupea', 's__Clupea_harengus']
Merluccius_merluccius	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Gadiformes', 'f__Merlucciidae', 'g__Merluccius', 's__Merluccius_merluccius']
Meleagris_gallopavo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	329.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.0	0.0	0.0	0.0	['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Aves', 'o__Galliformes', 'f__Phasianidae', 'g__Meleagris', 's__Meleagris_gallopavo']
Phalacrocorax_carbo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	46.0	0.0	0.0	0.0	8.0	0.0	5.0	0.0	4.0	882.0	84.0	22.0	7.0	95564.0	41865.0	12.0	7.0	310.0	132.0	0.0	15.0	0.0	0.0	0.0	0.0	18.0	9.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Aves', 'o__Pelecaniformes', 'f__Phalacrocoracidae', 'g__Phalacrocorax', 's__Phalacrocorax_carbo']
Struthio_camelus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	135.0	27.0	0.0	0.0	0.0	['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Aves', 'o__Struthioniformes', 'f__Struthionidae', 'g__Struthio', 's__Struthio_camelus']
Canis_lupus	0.0	0.0	0.0	0.0	15.0	6309.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Mammalia', 'o__Carnivora', 'f__Canidae', 'g__Canis', 's__Canis_lupus']
